first_name,second_name,web_name,id,team,element_type
Marek,Rodák,Rodák,284,Fulham,GLK
Kenny,Tete,Tete,285,Fulham,DEF
Tosin,Adarabioyo,Tosin,286,Fulham,DEF
Carlos Vinícius,Alves Morais,Vinícius,287,Fulham,FWD
Harry,Wilson,Wilson,288,Fulham,MID
Raúl,Jiménez,Raúl,558,Fulham,FWD
Willian,Borges da Silva,Willian,591,Fulham,MID
Calvin,Bassey,Bassey,610,Fulham,DEF
Luc,De Fougerolles,De Fougerolles,625,Fulham,DEF
Jay,Stansfield,Stansfield,651,Fulham,FWD
Matthew,Dibley-Dias,Dibley-Dias,652,Fulham,MID
Adama,Traoré,Adama,662,Fulham,MID
Luke,Harris,Harris,683,Fulham,MID
Timothy,Castagne,Castagne,688,Fulham,DEF
Steven,Benda,Benda,692,Fulham,GLK
Fodé,Ballo-Touré,Ballo-Touré,707,Fulham,DEF
Devan,Tanton,Tanton,732,Fulham,DEF
Kristian,Sekularac,Sekularac,796,Fulham,MID
Joshua,King,King,810,Fulham,MID
Adrián,San Miguel del Castillo,Adrián,289,Liverpool,GLK
Trent,Alexander-Arnold,Alexander-Arnold,290,Liverpool,DEF
Alisson,Ramses Becker,A.Becker,291,Liverpool,GLK
Stefan,Bajcetic,Bajcetic,292,Liverpool,MID
Darwin,Núñez Ribeiro,Darwin,293,Liverpool,FWD
Diogo,Teixeira da Silva,Diogo J.,294,Liverpool,MID
Harvey,Elliott,Elliott,295,Liverpool,MID
Fabio Henrique,Tavares,Fabinho,296,Liverpool,MID
Cody,Gakpo,Gakpo,297,Liverpool,FWD
Joe,Gomez,Gomez,298,Liverpool,DEF
Jordan,Henderson,Henderson,299,Liverpool,MID
Curtis,Jones,Jones,300,Liverpool,MID
Caoimhin,Kelleher,Kelleher,301,Liverpool,GLK
Ibrahima,Konaté,Konaté,302,Liverpool,DEF
Luis,Díaz,Luis Díaz,303,Liverpool,MID
Alexis,Mac Allister,Mac Allister,304,Liverpool,MID
Joel,Matip,Matip,305,Liverpool,DEF
Nathaniel,Phillips,Phillips,306,Liverpool,DEF
Andrew,Robertson,Robertson,307,Liverpool,DEF
Mohamed,Salah,Salah,308,Liverpool,MID
Dominik,Szoboszlai,Szoboszlai,309,Liverpool,MID
Thiago,Alcántara do Nascimento,Thiago,310,Liverpool,MID
Konstantinos,Tsimikas,Tsimikas,311,Liverpool,DEF
Sepp,van den Berg,Van den Berg,312,Liverpool,DEF
Virgil,van Dijk,Virgil,313,Liverpool,DEF
Jarell,Quansah,Quansah,626,Liverpool,DEF
Bobby,Clark,Clark,627,Liverpool,MID
Ben,Doak,Doak,628,Liverpool,MID
James,McConnell,McConnell,629,Liverpool,MID
Wataru,Endo,Endo,668,Liverpool,MID
Ryan,Gravenberch,Gravenberch,708,Liverpool,MID
Luke,Chambers,Chambers,726,Liverpool,DEF
Callum,Scanlon,Scanlon,728,Liverpool,DEF
Treymaurice,Nyoni,Nyoni,743,Liverpool,MID
Marcelo,de Araújo Pitaluga Filho,Pitaluga,756,Liverpool,GLK
Conor,Bradley,Bradley,757,Liverpool,DEF
Owen,Beck,Beck,782,Liverpool,DEF
Kaide,Gordon,Gordon,783,Liverpool,MID
Lewis,Koumas,Koumas,812,Liverpool,FWD
Fabian,Mrozek,Mrozek,813,Liverpool,GLK
Jayden,Danns,Danns,824,Liverpool,FWD
Amara,Nallo,Nallo,837,Liverpool,DEF
